uri_doremus,uri_wikidata,name_score,born_score,death_score,total_score
http://data.doremus.org/artist/1ff9ca04-4d3b-3733-bbd0-e3b6db2ae68c,http://www.wikidata.org/entity/Q4494470,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/206a6cfe-2d82-341d-9dbf-01fb63dda672,http://www.wikidata.org/entity/Q708863,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/20ae6415-43b8-3e61-acdc-8425d8c9cdd9,http://www.wikidata.org/entity/Q550825,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/20be5df1-a6f8-30fd-8955-1a064f40ee4a,http://www.wikidata.org/entity/Q6015926,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/20c4cb20-0bda-3dfe-a485-1fff924f2f11,http://www.wikidata.org/entity/Q1605020,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/20caf1c8-0a26-367c-9e68-5fee2d4b1333,http://www.wikidata.org/entity/Q214385,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/2101de00-cd46-3710-ba37-2840ac63421a,http://www.wikidata.org/entity/Q731407,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/21b9fd78-cd00-3232-bed0-1e92cb5e8341,http://www.wikidata.org/entity/Q434161,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/21d53692-da6b-3742-8aad-c1741352c58e,http://www.wikidata.org/entity/Q154770,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/21e01dad-dc4c-37a1-aa03-ac95202cc52b,http://www.wikidata.org/entity/Q1450915,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/22380fae-1104-30eb-8204-d342927733b3,http://www.wikidata.org/entity/Q298388,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/22676a30-29ac-322b-a75e-882df38eb145,http://www.wikidata.org/entity/Q48363,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/22a8da9c-5c39-3754-a3bd-0e64dbfcd5e1,http://www.wikidata.org/entity/Q179277,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/22f3a968-4ffc-32fa-a406-8443536df5e5,http://www.wikidata.org/entity/Q270662,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/235db7bb-f7f9-3526-a368-29bf1360b907,http://www.wikidata.org/entity/Q433579,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/2377df7b-b2d2-3543-9e0f-e0e1564e6ebc,http://www.wikidata.org/entity/Q1780895,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/237b8a9c-77f0-325e-918d-d7ba8af4d066,http://www.wikidata.org/entity/Q1980821,1.0,1.0,1.0,3.0
