3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,coordinates
http://data.linkedevents.org/location/25d5106a-2606-483f-be18-a6f7aefcad62,Stade Allianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,96.4,"(43.7049, 7.19261)"
http://data.linkedevents.org/location/898b3d4a-11aa-38e9-9e2c-17332c6d3622,AUTOZEN SAINT LAURENT DU VAR,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.2,"(43.6976, 7.18415)"
http://data.linkedevents.org/location/5dbedb07-000d-3fc6-8cba-9942ea799dfa,Alianz Riviera,Allianz Riviera,http://dbpedia.org/resource/Allianz_Riviera,96.2,"(43.7513, 7.21687)"
http://data.linkedevents.org/location/5913971c-a50b-35fe-9d21-a3175b760029,Baie De Villefranche Sur Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,96.2,"(43.6942, 7.30598)"
http://data.linkedevents.org/location/2526f97d-c74d-37c2-b390-968e3d7c61cd,Gare de Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,96.2,"(43.707, 7.31428)"
http://data.linkedevents.org/location/63b6b680-16a0-3dbc-bfbc-1ce1f0a93327,CHU Cimiez,Cimiez,http://dbpedia.org/resource/Cimiez,96.0,"(43.7186, 7.26191)"
http://data.linkedevents.org/location/b5183cee-7d9a-3085-825f-ace9c1522f04,Museo Marc-Chagall,Musée Marc Chagall,http://dbpedia.org/resource/Musée_Marc_Chagall,96.0,"(43.7092, 7.26954)"
http://data.linkedevents.org/location/d37f7ce8-58e4-3e38-8bd1-ec4f7ab8066a,Stade Charles Erhmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,96.0,"(43.7053, 7.26456)"
http://data.linkedevents.org/location/be084093-7487-4c11-aad0-0abaaa298ca6,Stade Charles ehhmann,Stade Charles-Ehrmann,http://dbpedia.org/resource/Stade_Charles-Ehrmann,96.0,"(43.6782, 7.19769)"
http://data.linkedevents.org/location/86980b77-76ea-375c-b3d7-1b78566e5818,Villefrenche Sur Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,96.0,"(43.6919, 7.29435)"
http://data.linkedevents.org/location/103a13a2-b8a5-3974-95cf-485ab7015848,"[u'Centre international de formation europ\xe9enne CIFE', u'Cife']",Centre International de Formation Européenne,http://dbpedia.org/resource/Centre_International_de_Formation_Européenne,95.6,"(43.6952, 7.25418)"
http://data.linkedevents.org/location/2ab8fb6e-aea1-3c67-958c-163fb4cc7183,EDHEC Nice,BBA EDHEC,http://dbpedia.org/resource/Espeme,95.6,"(43.6784, 7.22976)"
http://data.linkedevents.org/location/a3fbc2fb-0bf1-337d-b643-b8cbf4678741,Jeep Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,95.6,"(43.6613, 7.19561)"
http://data.linkedevents.org/location/f79d0283-b4bd-3211-9ad5-14ade37f4c46,Mairie de Villefranche sur Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.6,"(43.7028, 7.3112)"
http://data.linkedevents.org/location/f487d9c1-abd6-3333-96ef-bf77e7eb5326,"[u'Mairie de Villefranche-sur-Mer', u'Ville de Villefranche-sur-Mer']",Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.6,"(43.7014, 7.31078)"
http://data.linkedevents.org/location/8d12765a-dd7c-32cb-8635-0c495e78330a,Warp Zone Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,95.6,"(43.6667, 7.19197)"
http://data.linkedevents.org/location/3f428c09-6f1e-3091-914e-0e1613fcdbd7,Alternance Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,95.4,"(43.6611, 7.19616)"
http://data.linkedevents.org/location/0fc235ad-be8b-36e9-997f-ff5572b1ee22,Commune de Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,95.4,"(43.6748, 7.18853)"
http://data.linkedevents.org/location/07bb9e2a-3c02-3ad5-86d5-7f69f8b761c7,Parking P3 (Aeroport Nice Cote d'Azur),Aéroport Nice Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,95.4,"(43.6953, 7.26278)"
http://data.linkedevents.org/location/fe3b7bf8-4669-3297-a086-295051b2895f,"[u""Tripndrive A\xe9roport Nice C\xf4te d'Azur"", u""Tripndrive A\xe9roport Nice C\xf4te d'Azur - Location de voiture""]",Aéroport Nice Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,95.4,"(43.6989, 7.18964)"
http://data.linkedevents.org/location/fe2ba476-a5ad-32e5-a13b-c60612c0ff33,Beauty derm Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.2,"(43.7029, 7.30918)"
http://data.linkedevents.org/location/e88661b1-315d-3057-8087-a9625536a5e3,SCI Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),95.2,"(43.6907, 7.24292)"
http://data.linkedevents.org/location/a98a064b-1b7a-462d-b8df-3dfcc05a7c67,Théâtre de verdure,Théâtre de verdure de Nice,http://dbpedia.org/resource/Théâtre_de_verdure_de_Nice,95.2,"(43.6957, 7.2678)"
http://data.linkedevents.org/location/7456938c-522d-3db3-b7c3-9b2bc69da5e9,Villa Nellcote,Nellcôte,http://dbpedia.org/resource/Nellcôte,95.2,"(43.7032, 7.32231)"
http://data.linkedevents.org/location/c5e63764-b01f-39a1-b9b3-8075bd808930,"Jean Medecin, Nice",Avenue Jean-Médecin,http://dbpedia.org/resource/Avenue_Jean_Médecin,95.0,"(43.7094, 7.29277)"
http://data.linkedevents.org/location/bacb7f02-cc38-31e7-8a31-17c26955c505,Nice-saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,95.0,"(43.6627, 7.1899)"
http://data.linkedevents.org/location/2e361e60-56e1-3321-82d4-0b42b51559b3,Villefance-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,95.0,"(43.7045, 7.3124)"
http://data.linkedevents.org/location/4c9e21b0-15b1-3586-b584-39c4b1f7381b,Arroport Nice Cote D' Azur,Aéroport Nice Côte d'Azur,http://dbpedia.org/resource/Nice_Côte_d'Azur_Airport,94.8,"(43.666, 7.21347)"
http://data.linkedevents.org/location/34cdd9e5-d07d-3131-a606-c855eb1027a6,Nice Ville - Promenade Des Anglais,Promenade des Anglais,http://dbpedia.org/resource/Promenade_des_Anglais,94.8,"(43.6919, 7.24932)"
http://data.linkedevents.org/location/79f83901-c5f5-3353-a0b7-b47d45828335,Gare de Saint-Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,94.6,"(43.6627, 7.19418)"
http://data.linkedevents.org/location/3d8f4fbc-9dff-3680-bac3-ace51ca01a9f,Gare de Saint-Laurent-du-Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,94.6,"(43.6624, 7.19454)"
http://data.linkedevents.org/location/2b4dbce7-a191-38ed-a11f-b5fb5aa078b4,IAE (Institut d'Administration des Entreprises),Institut d'administration des entreprises de Nice,http://dbpedia.org/resource/IAE_Nice,94.6,"(43.7091, 7.28854)"
http://data.linkedevents.org/location/693eab7d-8d25-313b-b6ed-3eac9549c340,Jeanne d'Arc,"Sainte Jeanne d'Arc, Nice","http://dbpedia.org/resource/Sainte_Jeanne_d'Arc,_Nice",94.4,"(43.663, 7.19065)"
http://data.linkedevents.org/location/36087d80-5af4-3649-83ad-23a922bcaa6c,LCL Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,94.4,"(43.6746, 7.18924)"
http://data.linkedevents.org/location/7037f474-a0d1-3e31-a2cd-50d3be563456,Negressco Nice,Negresco,http://dbpedia.org/resource/Hotel_Negresco,94.4,"(43.6947, 7.25526)"
http://data.linkedevents.org/location/c7f1ee32-df85-3717-8195-e2767351f9b8,Stade de Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,94.4,"(43.6734, 7.19228)"
http://data.linkedevents.org/location/a1892e16-00a7-39f6-a5b0-2f60a70e28f9,Suzuki Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,94.2,"(43.6734, 7.18974)"
http://data.linkedevents.org/location/0cfa2697-a099-317d-9d44-d4b1f6966de9,Cathédrale Saint Nicolas,Cathédrale Saint-Nicolas de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cathedral,_Nice",94.0,"(43.7038, 7.25395)"
http://data.linkedevents.org/location/2dff4d67-78ed-3062-b6fc-09768eaab5a7,Cathédrale Saint-Nicolas,Cathédrale Saint-Nicolas de Nice,"http://dbpedia.org/resource/Russian_Orthodox_Cathedral,_Nice",94.0,"(43.7038, 7.25389)"
