3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,correct
http://data.linkedevents.org/location/477208d2-9ce0-310d-b39d-e4fb4aeff229,Cantón de Saint-Laurent-du-Var-Cagnes-sur-Mer-Este,canton de Saint-Laurent-du-Var-Cagnes-sur-Mer-Est,http://www.wikidata.org/entity/Q1727236,98.06.00,y
http://data.linkedevents.org/location/transit/Nice/stop/b88c14e3-d257-366b-acae-a36ce7216c83,gare de L'Ariane-la-Trinité,gare de l'Ariane - La Trinité,http://www.wikidata.org/entity/Q15188509,98.02.00,y
http://data.linkedevents.org/location/4d67c534-9bf0-39ea-ae42-45adc98a8fd6,Alhambra (Nice),Alhambra,http://www.wikidata.org/entity/Q2836046,97.06.00,y
http://data.linkedevents.org/location/af12dbfd-4410-3f73-a32e-63ed8a27292d,Consulat Général de Tunisie,Consulat général de Tunisie à Nice,http://www.wikidata.org/entity/Q16507616,97.06.00,y
http://data.linkedevents.org/location/ac773520-61e0-3728-977b-9bb29e09b111,Le Palais Meyerbeer,palais Meyerbeer,http://www.wikidata.org/entity/Q13518224,97.06.00,y
http://data.linkedevents.org/location/033a4b96-3d88-37b4-a2aa-730abd6ac227,Palais De La Mediterrannee,palais de la Méditerranée,http://www.wikidata.org/entity/Q3361055,97.06.00,y
http://data.linkedevents.org/location/42b489f3-9108-3364-abc6-79d30b3b0ee7,Chapelle de la Très-Sainte-Trinité et du Saint-Suaire,chapelle de la Très-Sainte-Trinité et du Saint-Suaire de Nice,http://www.wikidata.org/entity/Q2957343,96.08.00,y
http://data.linkedevents.org/location/42c9c066-3ecf-3ba1-bf13-70f348da0624,KFC Nice Lingostière,Nice Lingostière,http://www.wikidata.org/entity/Q3339613,96.08.00,y
http://data.linkedevents.org/location/832202f8-20cf-3f7a-97e0-7aebc01cc9ed,Eglise Sainte Marie Madeleine,église Sainte-Marie-Madeleine de Nice,http://www.wikidata.org/entity/Q27345374,96.06.00,y
http://data.linkedevents.org/location/09bd69a0-0924-37ed-90f9-bf3150b58c6b,Église Saint-François de Paule,église Saint-François-de-Paule de Nice,http://www.wikidata.org/entity/Q3581467,96.06.00,y
http://data.linkedevents.org/location/3bf5c49d-bd1f-3d61-b19d-8f7a75a9bf4e,"[u'ERAM NICE LINGOSTIERE', u'Eram']",Nice Lingostière,http://www.wikidata.org/entity/Q3339613,96.02.00,y
http://data.linkedevents.org/location/783ff840-d17d-3056-8ae7-20005ee1c917,PARC AUTO PALAIS DE LA MEDITERRANEE,palais de la Méditerranée,http://www.wikidata.org/entity/Q3361055,96.02.00,y
